trl_n curr_stim_level search nitems curr_target
1 1 0 12 1
2 1 0 4 1
3 1 1 8 2
4 1 1 12 1
5 1 0 12 2
6 1 1 8 2
7 1 1 8 1
8 1 1 12 2
9 1 0 4 2
10 1 1 4 1
11 1 0 8 1
12 1 1 8 2
13 1 1 4 2
14 1 0 12 1
15 1 0 4 1
16 1 1 12 2
17 1 0 8 1
18 1 0 4 2
19 1 0 8 1
20 1 1 4 2
21 1 1 4 1
22 1 0 4 2
23 1 0 4 2
24 1 1 12 2
25 1 0 12 2
26 1 0 12 1
27 1 0 12 2
28 1 0 12 1
29 1 1 4 1
30 1 0 8 2
31 1 1 8 2
32 1 1 8 1
33 1 1 8 2
34 1 0 12 1
35 1 1 12 2
36 1 1 4 2
37 1 1 4 1
38 1 0 4 1
39 1 1 8 1
40 1 0 8 2
41 1 0 12 2
42 1 1 12 1
43 1 1 12 1
44 1 0 12 1
45 1 0 4 1
46 1 0 4 2
47 1 1 8 2
48 1 1 8 1
49 1 1 8 2
50 1 0 4 1
51 1 1 12 1
52 1 1 12 2
53 1 1 12 1
54 1 1 8 1
55 1 0 4 1
56 1 1 4 1
57 1 1 4 1
58 1 0 8 2
59 1 1 8 2
60 1 0 4 1
61 1 0 8 2
62 1 1 4 2
63 1 0 8 2
64 1 0 4 2
65 1 1 8 1
66 1 1 4 1
67 1 1 8 2
68 1 0 8 1
69 1 0 12 1
70 1 1 12 1
71 1 0 8 1
72 1 0 4 1
73 1 1 12 2
74 1 0 12 1
75 1 0 4 2
76 1 1 4 2
77 1 0 4 2
78 1 0 4 1
79 1 1 8 1
80 1 0 8 2
81 1 1 12 1
82 1 0 8 2
83 1 0 12 2
84 1 0 4 2
85 1 1 4 1
86 1 0 4 2
87 1 1 4 2
88 1 0 12 2
89 1 0 12 2
90 1 0 4 1
91 1 1 4 1
92 1 1 12 1
93 1 0 12 1
94 1 0 12 2
95 1 1 12 1
96 1 0 8 2
97 1 1 4 2
98 1 1 12 1
99 1 1 8 1
100 1 1 4 2
101 1 1 4 1
102 1 1 12 2
103 1 1 12 2
104 1 0 8 2
105 1 0 12 2
106 1 0 8 1
107 1 1 8 1
108 1 0 12 1
109 1 1 12 2
110 1 1 4 2
111 1 0 8 1
112 1 0 8 2
113 1 1 8 2
114 1 1 12 2
115 1 0 8 1
116 1 0 8 1
117 1 0 12 2
118 1 1 8 1
119 1 1 4 2
120 1 0 8 1
121 3 0 4 1
122 3 1 4 2
123 3 0 12 1
124 3 1 8 2
125 3 1 4 2
126 3 1 8 1
127 3 0 12 2
128 3 1 8 2
129 3 1 12 2
130 3 1 4 2
131 3 0 4 2
132 3 1 8 1
133 3 0 4 1
134 3 1 12 1
135 3 0 8 1
136 3 0 4 2
137 3 0 12 2
138 3 0 12 2
139 3 0 12 1
140 3 1 8 2
141 3 1 4 2
142 3 0 8 1
143 3 0 12 2
144 3 1 8 1
145 3 0 12 1
146 3 0 4 2
147 3 1 4 2
148 3 0 12 1
149 3 1 8 2
150 3 0 8 2
151 3 0 8 2
152 3 0 12 2
153 3 1 4 1
154 3 1 12 1
155 3 0 12 1
156 3 0 8 1
157 3 1 8 1
158 3 1 12 2
159 3 0 4 1
160 3 0 4 2
161 3 1 4 1
162 3 1 12 1
163 3 1 8 1
164 3 0 12 1
165 3 1 8 1
166 3 1 12 1
167 3 1 12 2
168 3 1 4 1
169 3 0 8 1
170 3 1 12 1
171 3 1 8 1
172 3 1 12 1
173 3 1 8 2
174 3 1 4 2
175 3 1 8 1
176 3 1 4 1
177 3 0 8 2
178 3 0 4 1
179 3 0 12 2
180 3 1 8 2
181 3 1 4 2
182 3 0 8 2
183 3 0 4 1
184 3 1 12 2
185 3 1 12 2
186 3 0 4 1
187 3 1 12 2
188 3 0 4 1
189 3 0 12 1
