trl_n curr_stim_level search nitems curr_target
1 0 1 4 2
2 0 0 12 2
3 0 1 12 2
4 0 1 8 1
5 0 1 12 1
6 0 0 12 2
7 0 0 4 1
8 0 0 4 1
9 0 0 4 2
10 0 1 4 1
11 0 1 4 2
12 0 0 8 1
13 0 1 4 1
14 0 0 4 2
15 0 1 12 2
16 0 1 12 2
17 0 0 8 1
18 0 0 8 2
19 0 1 4 1
20 0 0 4 1
21 0 1 8 1
22 0 1 12 2
23 0 1 12 2
24 0 0 12 2
25 0 0 8 2
26 0 0 8 1
27 0 0 8 2
28 0 0 12 2
29 0 0 4 2
30 0 1 12 1
31 0 1 8 2
32 0 1 4 1
33 0 0 12 2
34 0 1 8 1
35 0 1 12 2
36 0 1 8 2
37 0 0 8 2
38 0 1 8 2
39 0 0 12 1
40 0 1 12 1
41 0 1 12 1
42 0 1 12 1
43 0 0 8 2
44 0 1 4 1
45 0 1 8 1
46 0 0 8 1
47 0 0 12 2
48 0 0 4 2
49 0 1 8 1
50 0 0 4 1
51 0 0 12 2
52 0 1 8 2
53 0 0 8 1
54 0 1 8 2
55 0 1 4 2
56 0 0 8 1
57 0 1 12 1
58 0 0 12 1
59 0 0 4 2
60 0 0 12 2
61 0 1 8 2
62 0 1 4 1
63 0 0 8 1
64 0 1 12 2
65 0 1 8 2
66 0 1 4 1
67 0 1 12 2
68 0 0 12 2
69 0 0 4 2
70 0 0 8 2
71 0 1 8 2
72 0 0 8 2
73 0 0 4 1
74 0 1 8 1
75 0 0 12 1
76 0 0 12 1
77 0 0 4 1
78 0 0 8 1
79 0 0 4 2
80 0 0 12 1
81 0 1 8 1
82 0 1 12 1
83 0 1 4 2
84 0 1 12 2
85 0 1 12 2
86 0 1 4 2
87 0 1 4 2
88 0 1 4 1
89 0 0 12 1
90 0 0 4 1
91 0 0 12 1
92 0 0 12 2
93 0 0 8 2
94 0 1 4 2
95 0 1 4 2
96 0 0 8 1
97 0 1 4 2
98 0 0 8 2
99 0 0 12 1
100 0 0 12 1
101 0 0 8 2
102 0 0 4 2
103 0 1 8 1
104 0 1 12 1
105 0 1 8 1
106 0 1 12 1
107 0 1 4 2
108 0 1 4 1
109 0 0 4 1
110 0 1 8 2
111 0 0 8 1
112 0 0 4 1
113 0 0 4 2
114 0 1 12 1
115 0 1 8 2
116 0 1 4 1
117 0 1 8 1
118 0 0 4 1
119 0 0 12 1
120 0 0 4 2
121 2 0 12 2
122 2 1 12 2
123 2 1 8 1
124 2 1 8 2
125 2 0 4 1
126 2 0 12 2
127 2 1 8 1
128 2 1 4 2
129 2 0 4 2
130 2 0 12 2
131 2 1 8 1
132 2 0 4 1
133 2 0 12 1
134 2 1 4 2
135 2 1 8 1
136 2 0 4 2
137 2 0 12 2
138 2 0 4 2
139 2 0 12 2
140 2 0 8 1
141 2 0 12 2
142 2 0 4 2
143 2 1 8 1
144 2 0 4 2
145 2 0 12 1
146 2 0 4 1
147 2 0 8 2
148 2 1 4 2
149 2 1 12 1
150 2 0 12 1
151 2 1 12 1
