trl_n curr_stim_level search nitems curr_target
1 0 0 8 1
2 0 0 4 1
3 0 0 12 1
4 0 1 8 1
5 0 0 4 2
6 0 1 12 1
7 0 1 12 2
8 0 0 4 2
9 0 0 8 2
10 0 1 12 2
11 0 1 12 1
12 0 1 4 2
13 0 1 4 1
14 0 1 12 1
15 0 1 8 2
16 0 1 4 2
17 0 1 12 2
18 0 0 8 2
19 0 0 12 1
20 0 1 8 2
21 0 0 8 2
22 0 0 8 2
23 0 0 12 2
24 0 0 12 2
25 0 1 8 2
26 0 1 8 1
27 0 1 8 1
28 0 0 8 2
29 0 1 8 2
30 0 1 8 1
31 0 0 8 1
32 0 1 8 1
33 0 1 12 2
34 0 0 12 2
35 0 0 8 2
36 0 1 4 2
37 0 1 8 2
38 0 1 12 2
39 0 0 4 2
40 0 0 8 1
41 0 0 4 1
42 0 0 4 1
43 0 0 4 1
44 0 1 8 2
45 0 1 8 2
46 0 0 12 1
47 0 0 4 2
48 0 1 4 2
49 0 1 4 2
50 0 1 12 1
51 0 1 4 2
52 0 0 12 1
53 0 0 4 2
54 0 1 12 1
55 0 1 8 1
56 0 0 4 1
57 0 1 12 2
58 0 0 4 1
59 0 1 4 1
60 0 0 12 1
61 0 0 8 2
62 0 1 4 2
63 0 1 8 1
64 0 0 4 1
65 0 1 8 1
66 0 1 8 2
67 0 0 8 1
68 0 0 12 1
69 0 0 12 1
70 0 0 12 2
71 0 0 4 2
72 0 1 12 2
73 0 1 4 1
74 0 0 12 2
75 0 0 12 2
76 0 0 4 1
77 0 1 4 1
78 0 0 12 2
79 0 1 8 1
80 0 1 8 1
81 0 0 8 1
82 0 0 8 2
83 0 0 8 2
84 0 0 4 2
85 0 1 4 2
86 0 1 12 1
87 0 1 8 2
88 0 1 4 2
89 0 0 8 1
90 0 1 4 1
91 0 1 4 1
92 0 0 4 2
93 0 0 4 2
94 0 1 12 2
95 0 1 8 2
96 0 1 12 2
97 0 1 12 1
98 0 0 4 1
99 0 0 12 2
100 0 0 12 1
101 0 0 8 1
102 0 0 12 1
103 0 0 12 2
104 0 1 12 2
105 0 1 12 1
106 0 1 12 1
107 0 0 8 1
108 0 1 4 1
