trl_n curr_stim_level search nitems curr_target
1 3 0 12 1
2 3 1 4 1
3 3 0 8 1
4 3 1 8 2
5 3 0 8 1
6 3 1 4 2
7 3 0 4 1
8 3 1 4 1
9 3 0 4 1
10 3 0 8 1
11 3 1 12 1
12 3 0 4 2
13 3 0 4 1
14 3 1 12 2
15 3 1 4 2
16 3 0 12 1
17 3 1 4 1
18 3 1 12 2
19 3 1 12 1
20 3 1 12 2
21 3 0 8 2
22 3 1 8 2
23 3 0 8 2
24 3 0 12 2
25 3 0 4 1
26 3 1 8 2
27 3 1 12 1
28 3 1 12 1
29 3 1 12 1
30 3 0 8 2
31 3 1 4 2
32 3 1 8 1
33 3 0 12 1
34 3 1 4 2
35 3 1 4 2
36 3 1 8 2
37 3 0 8 2
38 3 0 12 1
39 3 0 8 1
40 3 1 8 1
41 3 1 12 2
42 3 0 8 2
43 3 0 8 2
44 3 0 8 1
45 3 0 8 2
46 3 0 4 2
47 3 1 12 1
48 3 0 8 1
49 3 0 4 1
50 3 1 8 1
51 3 1 8 1
52 3 1 4 1
53 3 0 4 2
54 3 0 8 1
55 3 1 12 2
56 3 1 4 1
57 3 1 8 2
58 3 0 8 1
59 3 1 12 2
60 3 1 4 2
61 3 1 8 2
62 3 1 12 1
63 3 0 4 1
64 3 0 4 1
65 3 1 8 2
66 3 0 12 1
67 3 0 8 1
68 3 0 8 2
69 3 1 4 1
70 3 1 8 1
71 3 1 12 2
72 3 0 4 1
73 3 0 8 1
74 3 1 12 1
75 3 0 12 1
76 3 0 12 2
77 3 1 4 2
78 3 0 8 2
79 3 1 4 1
80 3 0 12 2
81 3 0 12 2
82 3 0 12 1
83 3 0 4 1
84 3 0 12 2
85 3 0 4 2
86 3 1 8 1
87 3 0 12 2
88 3 1 8 1
89 3 0 4 2
90 3 0 12 2
91 3 1 12 1
92 3 1 8 2
93 3 1 4 2
94 3 0 12 2
95 3 0 12 1
96 3 1 8 2
97 3 0 4 2
98 3 1 8 2
99 3 1 4 2
100 3 0 4 2
101 3 1 8 1
102 3 1 12 2
103 3 1 4 1
104 3 1 4 1
105 3 1 8 1
106 3 1 12 2
107 3 0 12 2
108 3 0 4 2
109 3 0 4 1
110 3 1 12 2
111 3 0 4 2
112 3 1 4 2
113 3 0 12 1
114 3 1 12 1
115 3 1 4 1
